NO,名　　　　称,緯度,経度,所在地,面積（㎡）,面積（ha）,一時緊急　　　避難地,ブランコ _2連 ,ブランコ_3連,ブランコ_4連,スベリ台,低鉄棒_１連,低鉄棒_２連,低鉄棒_３連,低鉄棒_４連,低鉄棒_５連,シーソー,ジャングルジム,複合遊具_鋼製,砂場,ラダー,健康遊具,ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ,便所,水飲,ベンチ,四阿・ｼｪﾙﾀｰ,駐車場有料施設専用,駐車場,桜_ソメイヨシノ,桜_オオシマザクラ,桜_カンヒザクラ,桜_シダレザクラ,桜_カワズザクラ　,桜_ヤマザクラ,桜_その他,桜_合計,桜_その他品種,景色の良い公園
102,代々池公園,34.80927752,135.6941401,野村中町,"1,723.57",0.172,,,,1,2,,,,,,,1,,1,,,,,1,3,,,,5,0,0,0,0,0,0,5,,
103,高塚町北公園,34.80736327,135.6427766,高塚町,856.76,0.086,,,,,,,,,,,,,,,,,,,1,4,,,,8,0,0,0,0,0,0,8,,
104,高塚町中央公園,34.80652272,135.643109,高塚町,896.85,0.09,,1,,,,,,,,,,,1,,,,,,1,3,,,,0,0,0,0,0,6,0,6,,
105,津田駅前東公園,34.80028181,135.6994434,津田駅前２丁目505,"2,821.82",0.282,,,,,,,,,,,,,1,,,6,,,1,11,1,,,0,0,0,1,0,2,2,5,エドヒガン,
106,津田南町西公園,34.80024883,135.7021834,津田南町１丁目,622.09,0.062,,1,,,1,,,,,,,,,1,,,,,1,4,,,,0,0,0,0,0,0,2,2,エドヒガン,
107,津田南町東公園,34.7998359,135.7054686,津田南町１丁目,556,0.056,,1,,,1,,1,,,,,,,1,,,1,,1,5,,,,5,0,0,0,0,0,0,5,,
108,出口北公園,34.80322447,135.6209232,出口２丁目,"1,391.98",0.139,,,,1,,,,,,,,1,1,1,,,1,,1,5,,,,2,0,0,0,0,0,0,2,,
109,出口西公園,34.80217933,135.6208361,出口６丁目,983.58,0.098,,,,1,1,,,3,,,,,,1,,,,,1,3,,,,17,0,0,0,0,0,0,17,,
110,出口ふれあい公園,34.80307135,135.6267714,出口１丁目,"6,461.47",0.646,,1,,,1,,,1,,,,,,1,2,,,1,2,24,1,,,14,2,0,0,0,0,2,18,ヤエザクラ,
111,天満公園,34.86665552,135.6913309,北楠葉町,"6,714.47",0.671,,,,1,1,1,1,,,,,,,,,,2,1,1,6,,,,8,0,0,0,0,0,1,9,ヤエザクラ,
112,東部公園,34.80132991,135.745787,大字尊延寺,34000,3.4,,,,,,,,,,,,,2,,,7,,2,,,3,1,,0,0,0,0,0,0,65,65,,○
113,堂ノ背公園,34.80974314,135.7196995,杉１丁目,"6,193.81",0.619,,1,,,1,,1,,,,,,,1,,,,1,1,5,1,,,21,0,0,5,0,0,0,26,,○
114,堂山公園,34.81767611,135.6704285,堂山１丁目,"16,876.91",1.688,○,,,1,1,,,1,,,,,,1,,,3,1,1,32,3,,,30,0,0,0,0,0,0,30,,
115,長尾大池公園,34.82556246,135.7162333,長尾東町１丁目,589.69,0.059,,,,1,1,,,,,,,,,,,,,,1,2,,,,3,0,0,0,0,0,0,3,,
116,長尾台大谷公園,34.81681039,135.7171059,長尾台３丁目,"3,010.26",0.301,,,,1,1,,,,,,,,,1,,,,,,5,,,,1,0,0,0,0,0,2,3,ヤエザクラ,
117,長尾台亀谷公園,34.82055121,135.7205302,長尾台４丁目,"1,516.05",0.152,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,1,0,3,,
118,長尾台北公園,34.82117389,135.7168685,長尾台１丁目,"1,031.69",0.103,,,,1,1,,,,1,,,,,1,,,,,1,2,,,,13,0,0,0,0,3,0,16,,
119,長尾台東公園,34.81940465,135.7182962,長尾台２丁目,"1,044.52",0.104,,,,1,1,,,1,,,,,,1,,,,,1,3,,,,0,0,0,0,0,0,4,4,ヤエザクラ,
120,長尾台南公園,34.81842135,135.7166268,長尾台２丁目,"1,045.85",0.105,,,,1,1,,1,,,,,1,,1,,,,,1,7,,,,4,0,0,0,0,3,0,7,,
121,長尾谷町公園,34.82420175,135.7027031,長尾谷町３丁目,"1,130.56",0.113,,1,,,1,,1,,,,1,,,1,,,,,1,1,,,,16,0,0,0,0,0,0,16,,
122,長尾西町公園,34.83162137,135.6995521,長尾西町１丁目,714.92,0.071,,1,,,1,,,,,,1,,,1,,,,,1,4,,,,,,,,,,,,,
123,長尾東公園,34.82541546,135.7227147,長尾東町３丁目,524.41,0.052,,,,,,,,,,,,,1,,,,,,1,5,1,,,,,,,,,,,,
124,長尾元町公園,34.83019936,135.706721,長尾元町３丁目,"1,640.54",0.164,,,,1,1,,,1,,,1,,,1,,2,3,,1,7,,,,,,,,,,,,,
125,中の池公園,34.8476097,135.6902535,東山２丁目,"40,071.87",4.007,○,,,1,1,,,,,,1,,,1,,,,1,1,7,1,1,,27,6,1,0,0,0,3,37,ｵｵﾔﾏｻﾞｸﾗ,
126,中の谷公園,34.85045399,135.6901284,東山１丁目,"2,449.28",0.245,,,,1,1,,,,,,,1,,1,,,,,1,7,,,,,,,,,,,,,
127,中振中央公園,34.79424459,135.6353977,南中振１丁目,"1,200.00",0.12,,1,,,1,,1,,,,,,,1,,,,,,2,,,,11,0,0,0,0,0,1,12,,
128,中宮公園,34.81915085,135.6657927,中宮東之町,"2,122.95",0.212,,2,,,1,,,,,,,,,1,,,,,1,6,,,,0,0,0,0,0,0,2,2,サトザクラ,
129,渚栄公園,34.83549093,135.6603861,渚栄町,540.51,0.054,,,,,,,,,,,,,1,1,,,,,1,3,,,,2,0,0,0,0,0,0,2,,
130,渚西公園,34.83344871,135.6526486,渚西町２丁目,"1,823.35",0.182,,,,,1,,,,,,,,,1,,,,,1,6,1,,,4,0,0,0,0,0,0,4,,
131,渚東公園,34.83248629,135.6624303,渚西町１丁目,827.96,0.083,,,,1,1,,,,,,,,,1,,,,,1,5,,,,5,0,0,0,0,1,0,6,,
132,渚公園,34.83296581,135.6609901,渚南町,"1,162.86",0.116,,1,,,1,,,,,,,,,1,,,,,1,4,,,,10,0,0,0,0,0,0,10,,
